Feature,MI_Score,F_Statistic,Spearman_Corr,MI_Norm,ANOVA_Norm,Corr_Norm,Consensus_Score
Init_Win_bytes_backward,1.3737937053326814,6506.445076874229,0.1994335985793222,0.8833797453354664,1.0,0.1994335985793222,0.6942711146382629
Fwd IAT Max,1.3359763538773706,4403.584165925318,0.40113563066568125,0.8590623517062939,0.6768034024565763,0.40113563066568125,0.6456671282761838
Flow IAT Max,1.2998714934120974,4421.292084772091,0.4065313390576424,0.8358461276696129,0.6795249990638714,0.4065313390576424,0.6406341552637088
Fwd IAT Std,1.1017786448726374,4858.025033468868,0.43261178525780275,0.7084680435975295,0.7466481275213837,0.43261178525780275,0.629242652125572
Packet Length Mean,1.5551564461227019,3507.8396677631126,0.343779258256168,1.0,0.5391330636496081,0.343779258256168,0.6276374406352587
Average Packet Size,1.5439183789723574,3471.7589921323183,0.3452859652511331,0.9927736741995552,0.533587688993479,0.3452859652511331,0.6238824428147224
Avg Bwd Segment Size,1.2883599099285044,4229.328108698717,0.33916976653132797,0.8284439248158141,0.6500213340355337,0.33916976653132797,0.6058783417942253
Bwd Packet Length Mean,1.287269014597026,4229.328108698717,0.33916976653132797,0.8277424549835036,0.6500213340355337,0.33916976653132797,0.6056445185167885
Packet Length Std,1.417233885947548,3391.350186384354,0.3516461308265752,0.9113127425095906,0.521229357401046,0.3516461308265752,0.5947294102457373
Max Packet Length,1.4049829275723074,3055.59092179605,0.35123679491622994,0.9034351052430735,0.46962525398953975,0.35123679491622994,0.5747657180496143
Bwd Packet Length Max,1.258027664441065,3502.5518410130667,0.34526897785426586,0.8089396199189895,0.5383203576807465,0.34526897785426586,0.5641763184846673
Flow IAT Std,1.1816237286456435,3289.427177060631,0.4047744633025576,0.7598101988977727,0.5055644269944272,0.4047744633025576,0.5567163630649191
Bwd Packet Length Std,1.0285091718721033,3334.8047489844475,0.48041215530405984,0.6613541514979863,0.5125386765865895,0.48041215530405984,0.5514349944628786
Flow Duration,1.2352566930466797,2884.1174602740093,0.34028715033455265,0.7942973815440931,0.44327085316142756,0.34028715033455265,0.5259517950133578
Packet Length Variance,1.4145093182554842,2056.5667760692218,0.35164652128388324,0.9095607852072519,0.3160814779454375,0.35164652128388324,0.5257629281455243
Fwd IAT Total,1.2004114193819193,2928.420069977122,0.3380480068768096,0.7718910996863185,0.45007988776936986,0.3380480068768096,0.520006331444166
Idle Mean,0.479090446012596,4970.542251710333,0.382897192589754,0.30806575583251367,0.7639413217176098,0.382897192589754,0.4849680900466258
Idle Min,0.4765318174448838,4913.335067360797,0.3765862630743825,0.3064205010582488,0.7551489345271197,0.3765862630743825,0.4793852328865837
Idle Max,0.4905337066941087,4584.272710973589,0.3850481210346659,0.3154240256130511,0.7045741041090793,0.3850481210346659,0.4683487502522654
Flow IAT Mean,1.1898564657550232,1507.4330601583633,0.3998269409248681,0.7651040309941547,0.23168305308780868,0.3998269409248681,0.4655380083356105
Fwd Header Length,1.3128519862147736,2253.351312209527,0.2015791477598496,0.8441928717126569,0.3463260329697677,0.2015791477598496,0.4640326841474247
Fwd Header Length.1,1.3112145049204527,2253.351312209527,0.2015791477598496,0.8431399350139708,0.3463260329697677,0.2015791477598496,0.46368170524786273
Fwd IAT Mean,1.2330611039837232,1026.0205058258157,0.38958840031537195,0.7928855692030065,0.15769294810042842,0.38958840031537195,0.44672230587293565
Bwd Header Length,1.3461881359731807,2206.6021465527438,0.11874568879379356,0.8656287535118935,0.3391409779813005,0.11874568879379356,0.4411718067623292
Subflow Bwd Bytes,1.3131824065814488,972.9757112583166,0.2880912048684854,0.8444053393184074,0.14954029424094445,0.2880912048684854,0.42734561280927913
Total Length of Bwd Packets,1.3121145230584697,972.9757112583166,0.2880912048684863,0.8437186665880583,0.14954029424094445,0.2880912048684863,0.427116721899163
Bwd Packets/s,1.297194020738854,39.0834423536068,0.4191909786859142,0.8341244535062714,0.0060068811604236175,0.4191909786859142,0.41977410445086977
Init_Win_bytes_forward,1.1120907038373988,2261.9982381180007,0.12312077485133645,0.7150989256483169,0.34765501151432,0.12312077485133645,0.3952915706713245
Flow Packets/s,1.2047717245503975,42.55856984708859,0.399033876241619,0.7746948723738505,0.006540986567050869,0.399033876241619,0.3934232450608401
Fwd Packets/s,1.1806662375382135,31.198449033201726,0.393605937259933,0.7591945109328627,0.004795006899249785,0.393605937259933,0.38586515169734853
Total Length of Fwd Packets,1.435663942481439,688.5840981075334,0.11917619557681425,0.9231636765939657,0.105831078257305,0.11917619557681425,0.382723650142695
Subflow Fwd Bytes,1.4341719357117109,688.5840981075334,0.11917619557681425,0.9222042832329646,0.105831078257305,0.11917619557681425,0.3824038523556946
Total Backward Packets,1.0459053785444041,1975.7506612506868,0.09268805114135681,0.672540297249221,0.30366054549097343,0.09268805114135681,0.3562962979605171
Subflow Bwd Packets,1.0450023690561725,1975.7506612506868,0.09268805114135681,0.671959642170767,0.30366054549097343,0.09268805114135681,0.3561027462676991
Subflow Fwd Packets,0.7431255639307945,2277.6732473501565,0.19451702127380685,0.4778461779736351,0.35006416260173473,0.19451702127380685,0.3408091206163922
Flow Bytes/s,1.1825547505822631,78.11749832493965,0.24957377993909766,0.7604088666002671,0.012006171942124224,0.24957377993909766,0.34066293949382964
Total Fwd Packets,0.7414250997090077,2277.6732473501565,0.19451702127380685,0.4767527418592002,0.35006416260173473,0.19451702127380685,0.3404446419115806
Fwd Packet Length Max,1.3698229565793316,184.65900931675182,0.09895982328609071,0.880826466041123,0.02838093722992958,0.09895982328609071,0.33605574218571443
Avg Fwd Segment Size,1.3024624280279258,155.64186471972332,0.11023078425208466,0.8375121559475318,0.023921183208464963,0.11023078425208466,0.32388804113602715
Fwd Packet Length Mean,1.2984294441859126,155.64186471972332,0.11023078425208466,0.8349188581143343,0.023921183208464963,0.11023078425208466,0.3230236085249613
Fwd Packet Length Std,1.1467446679693443,203.2549651283055,0.17015372063372547,0.7373821912440994,0.03123901957625554,0.17015372063372547,0.31292497715136014
Bwd IAT Max,1.0638050914454933,696.562396330046,0.1329285153662593,0.68405020864477,0.10705729289959405,0.1329285153662593,0.3080120056368744
Bwd IAT Std,0.7728558199895201,783.9292319644734,0.25040250734466235,0.49696339034982323,0.12048503025880948,0.25040250734466235,0.28928364265109835
min_seg_size_forward,0.45006581289147674,3181.2314989787988,0.08892746370190706,0.2894022746158919,0.4889354265489472,0.08892746370190706,0.2890883882889154
Bwd IAT Total,1.0211766374129123,515.1826449814522,0.10434956186356734,0.6566391696211002,0.07918035715271908,0.10434956186356734,0.2800563628791289
Min Packet Length,0.34115680709557594,1762.89176572164,0.33236555500883047,0.21937137446598645,0.27094546175260326,0.33236555500883047,0.27422746374247337
Bwd Packet Length Min,0.3050038375899269,1259.2517143023088,0.4132759565764976,0.19612421525201462,0.19353912919023175,0.4132759565764976,0.2676464336729147
Bwd IAT Mean,0.9549201941439276,278.3800707714292,0.12650144193060506,0.6140348107900807,0.04278527943943949,0.12650144193060506,0.2611071773867084
Destination Port,1.0738711476772127,453.08230880786897,0.011948199505921579,0.690522905495827,0.06963592306623065,0.011948199505921579,0.2573690093559931
act_data_pkt_fwd,0.7566623078492918,866.9563710131172,0.05252599995633246,0.4865506037902447,0.1332457833378981,0.05252599995633246,0.22410746236149173
FIN Flag Count,0.10597173522145553,1213.5942627483057,0.33374099316260086,0.06814217018851257,0.18652186384570704,0.33374099316260086,0.1961350090656068
ACK Flag Count,0.1277845046879622,996.745118126259,0.352751370680651,0.08216826352522479,0.1531935037258636,0.352751370680651,0.19603771264391312
Fwd Packet Length Min,0.3204062428719743,336.96526243845256,0.3274236516259318,0.20602830259991362,0.051789457754146534,0.3274236516259318,0.1950804706599973
Fwd IAT Min,0.6845768805837711,185.68216946195216,0.07815587668639515,0.4401980792932764,0.028538190558454083,0.07815587668639515,0.18229738217937522
Bwd IAT Min,0.6774980007562807,195.38516735083937,0.058494827974590394,0.43564620295624334,0.03002948077519232,0.058494827974590394,0.17472350390200866
PSH Flag Count,0.20947195015413067,1850.6184638948478,0.07424656592163174,0.13469509815323322,0.28442850773803907,0.07424656592163174,0.1644567239376347
Active Mean,0.41440927392471183,170.9152470959139,0.18732504815457954,0.26647433122108855,0.026268606754769313,0.18732504815457954,0.16002266204347915
Active Max,0.4095549726864358,171.6923377681633,0.1858552320531416,0.263352908131869,0.02638804074108104,0.1858552320531416,0.15853206030869724
Active Min,0.41340659348066744,122.69833355193083,0.18773074815033222,0.2658295855129997,0.018857968076613125,0.18773074815033222,0.15747276724664835
Flow IAT Min,0.4840392905238997,55.75706916208537,0.046886006806043,0.3112479723378962,0.008569513536702551,0.046886006806043,0.12223449756021391
Down/Up Ratio,0.14400752132568018,426.743916047754,0.10716199408927332,0.09260002212942503,0.06558787648335405,0.10716199408927332,0.08844996423401748
Active Std,0.045501384906703635,100.44961493836196,0.16470257290512305,0.0292583971343508,0.01543847888540375,0.16470257290512305,0.06979981630829253
Fwd PSH Flags,0.05835735065852132,545.441350471388,0.0739102084516138,0.03752506752874747,0.08383093133453826,0.0739102084516138,0.06508873577163317
SYN Flag Count,0.05688197125998906,545.441350471388,0.0739102084516138,0.03657636593527715,0.08383093133453826,0.0739102084516138,0.06477250190714307
Idle Std,0.0798551245835264,173.27486497106742,0.08971597881905131,0.05134861176354332,0.026631265295227954,0.08971597881905131,0.055898618625940866
URG Flag Count,0.011306379322994609,106.29652556979646,0.08859469715899089,0.007270252038747318,0.016337112557455496,0.08859469715899089,0.037400687251731235
ECE Flag Count,0.0006569800755560351,0.5644733396432046,0.010354483976195674,0.0004224527231289239,8.675602928694575e-05,0.010354483976195674,0.0036212309095371813
RST Flag Count,0.00022824574406676845,0.5644733396432046,0.010354483976195674,0.00014676706297673658,8.675602928694575e-05,0.010354483976195674,0.003529335689486452
Bwd URG Flags,0.0057034640973006034,0.0,0.0,0.003667453593830006,0.0,0.0,0.0012224845312766687
CWE Flag Count,0.0020342433799056536,0.0,0.0021585841043819244,0.0013080634973911503,0.0,0.0021585841043819244,0.001155549200591025
Fwd Avg Bytes/Bulk,0.004658608227489314,0.0,0.0,0.0029955881539147407,0.0,0.0,0.000998529384638247
Fwd URG Flags,0.00047725389154473774,0.0,0.0021585841043819244,0.0003068848106790938,0.0,0.0021585841043819244,0.000821822971687006
Bwd Avg Bytes/Bulk,0.002758596932781021,0.0,0.0,0.0017738388569579113,0.0,0.0,0.0005912796189859704
Fwd Avg Bulk Rate,0.0011036324190620839,0.0,0.0,0.0007096600614128871,0.0,0.0,0.0002365533538042957
Bwd Avg Bulk Rate,0.0006839885156186831,0.0,0.0,0.00043981974760416893,0.0,0.0,0.00014660658253472299
Bwd PSH Flags,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bwd Avg Packets/Bulk,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fwd Avg Packets/Bulk,0.0,0.0,0.0,0.0,0.0,0.0,0.0
